bug_id,bug_title,bug_description,bug_tags,severity,priority,normalized_bug_title,bug_text
102232,"When Geometry or Part/Assembly Design is Opened in NX Managed Mode, unable to get 'Select Template Part' window",,R_24.01; SRT; Team 1,2 - High,2.0,"when geometry or part/assembly design is opened in nx managed mode, unable to get 'select template part' window","Normalized Title: when geometry or part/assembly design is opened in nx managed mode, unable to get 'select template part' window
Original Title: When Geometry or Part/Assembly Design is Opened in NX Managed Mode, unable to get 'Select Template Part' window
Tags: R_24.01; SRT; Team 1
Severity: 2 - High
Description: nan"
102695,Unable to see the 'Preview' for attached Drawing dataset 'UGPART' in NX Managed Mode.,,R_24.01; SRT; Team 1,3 - Medium,2.0,unable to see the 'preview' for attached drawing dataset 'ugpart' in nx managed mode.,"Normalized Title: unable to see the 'preview' for attached drawing dataset 'ugpart' in nx managed mode.
Original Title: Unable to see the 'Preview' for attached Drawing dataset 'UGPART' in NX Managed Mode.
Tags: R_24.01; SRT; Team 1
Severity: 3 - Medium
Description: nan"
101853,MIG000000000317 no Attribute mapping defined in IMPL config. Workbook for 'Arrangement Part Design' object in PLATON,,R_24.01; SRT; Team 3; Team 4,3 - Medium,2.0,mig no attribute mapping defined in impl config. workbook for 'arrangement part design' object in platon,"Normalized Title: mig no attribute mapping defined in impl config. workbook for 'arrangement part design' object in platon
Original Title: MIG000000000317 no Attribute mapping defined in IMPL config. Workbook for 'Arrangement Part Design' object in PLATON
Tags: R_24.01; SRT; Team 3; Team 4
Severity: 3 - Medium
Description: nan"
104703,MIG000000000317 no Attribute mapping defined in IMPL config. Workbook for 'Arrangement Part Design' object in PLATON - Copy,,R_24.01; SRT; Team 3; Team 4,3 - Medium,2.0,mig no attribute mapping defined in impl config. workbook for 'arrangement part design' object in platon - copy,"Normalized Title: mig no attribute mapping defined in impl config. workbook for 'arrangement part design' object in platon - copy
Original Title: MIG000000000317 no Attribute mapping defined in IMPL config. Workbook for 'Arrangement Part Design' object in PLATON - Copy
Tags: R_24.01; SRT; Team 3; Team 4
Severity: 3 - Medium
Description: nan"
103131,87726 Generate design related neutral file formats,,R_24.01; SRT,4 - Low,4.0,generate design related neutral file formats,"Normalized Title: generate design related neutral file formats
Original Title: 87726 Generate design related neutral file formats
Tags: R_24.01; SRT
Severity: 4 - Low
Description: nan"
102287,84959 Editing the Product structure element with custom 'In change' status,,R_24.01; SRT,3 - Medium,2.0,editing the product structure element with custom 'in change' status,"Normalized Title: editing the product structure element with custom 'in change' status
Original Title: 84959 Editing the Product structure element with custom 'In change' status
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
101349,MIG000000000899 Item & 0001.002 Revision level properties are missing for 'Product Structure' object in PLATON,,R_24.01; SRT; Team 4,2 - High,2.0,mig item & . revision level properties are missing for 'product structure' object in platon,"Normalized Title: mig item & . revision level properties are missing for 'product structure' object in platon
Original Title: MIG000000000899 Item & 0001.002 Revision level properties are missing for 'Product Structure' object in PLATON
Tags: R_24.01; SRT; Team 4
Severity: 2 - High
Description: nan"
102464,84941 Element has disappeared but still a blue symbol is there,,R_24.01; SRT; Team 2,3 - Medium,2.0,element has disappeared but still a blue symbol is there,"Normalized Title: element has disappeared but still a blue symbol is there
Original Title: 84941 Element has disappeared but still a blue symbol is there
Tags: R_24.01; SRT; Team 2
Severity: 3 - Medium
Description: nan"
102771,96759 Attach and verify Revision Effectivity,,R_24.01; SRT,3 - Medium,2.0,attach and verify revision effectivity,"Normalized Title: attach and verify revision effectivity
Original Title: 96759 Attach and verify Revision Effectivity
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
102776,Saved Variant Rule (SVR) configuration for the Product structure Failed: Guided mode cannot be tested,,R_24.01; SRT,3 - Medium,2.0,saved variant rule (svr) configuration for the product structure failed: guided mode cannot be tested,"Normalized Title: saved variant rule (svr) configuration for the product structure failed: guided mode cannot be tested
Original Title: Saved Variant Rule (SVR) configuration for the Product structure Failed: Guided mode cannot be tested
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
101804,"MIG000000000593 Revision 0001.001 Attribute value missing for 'Product Structure Revision' object in PLATON ""Nomenclature Translated""",,R_24.01; SRT; Team 4,3 - Medium,2.0,"mig revision . attribute value missing for 'product structure revision' object in platon ""nomenclature translated""","Normalized Title: mig revision . attribute value missing for 'product structure revision' object in platon ""nomenclature translated""
Original Title: MIG000000000593 Revision 0001.001 Attribute value missing for 'Product Structure Revision' object in PLATON ""Nomenclature Translated""
Tags: R_24.01; SRT; Team 4
Severity: 3 - Medium
Description: nan"
101489,MIG000000003576 Item level attributes are missing for 'SA' object in PLATON,,R_24.01; SRT; Team 4,3 - Medium,2.0,mig item level attributes are missing for 'sa' object in platon,"Normalized Title: mig item level attributes are missing for 'sa' object in platon
Original Title: MIG000000003576 Item level attributes are missing for 'SA' object in PLATON
Tags: R_24.01; SRT; Team 4
Severity: 3 - Medium
Description: nan"
103984,84114_Reference_Set_FINAL_PART_Not_Available,,Team 1,,,_reference_set_final_part_not_available,"Normalized Title: _reference_set_final_part_not_available
Original Title: 84114_Reference_Set_FINAL_PART_Not_Available
Tags: Team 1
Severity: nan
Description: nan"
103997,After Save of 84114 Geometry reopen is missing the Geometry,,Team 1,,,after save of geometry reopen is missing the geometry,"Normalized Title: after save of geometry reopen is missing the geometry
Original Title: After Save of 84114 Geometry reopen is missing the Geometry
Tags: Team 1
Severity: nan
Description: nan"
122591,Issue with Geometry part created in PLATON,,Team 1,3 - Medium,3.0,issue with geometry part created in platon,"Normalized Title: issue with geometry part created in platon
Original Title: Issue with Geometry part created in PLATON
Tags: Team 1
Severity: 3 - Medium
Description: nan"
102156,84285 CAD start part release workflow possible with PDM Author,,R_24.01; SRT,3 - Medium,2.0,cad start part release workflow possible with pdm author,"Normalized Title: cad start part release workflow possible with pdm author
Original Title: 84285 CAD start part release workflow possible with PDM Author
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
107486,problem while entering part number,,R_24.01; UAT,,,problem while entering part number,"Normalized Title: problem while entering part number
Original Title: problem while entering part number
Tags: R_24.01; UAT
Severity: nan
Description: nan"
107658,CAD start part release workflow Failed,,R_24.01; UAT,,,cad start part release workflow failed,"Normalized Title: cad start part release workflow failed
Original Title: CAD start part release workflow Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
106898,Check for integrity of partnumber,,R_24.01; Team 1; UAT,3 - Medium,3.0,check for integrity of partnumber,"Normalized Title: check for integrity of partnumber
Original Title: Check for integrity of partnumber
Tags: R_24.01; Team 1; UAT
Severity: 3 - Medium
Description: nan"
184783,write access denied on ECO- while initiating workflows,,,2 - High,1.0,write access denied on eco- while initiating workflows,"Normalized Title: write access denied on eco- while initiating workflows
Original Title: write access denied on ECO- while initiating workflows
Tags: nan
Severity: 2 - High
Description: nan"
102768,Migrated data is not able to visualize in integrated viewer,,R_24.01; SRT,3 - Medium,2.0,migrated data is not able to visualize in integrated viewer,"Normalized Title: migrated data is not able to visualize in integrated viewer
Original Title: Migrated data is not able to visualize in integrated viewer
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
160658,"Overview page is showing ""Name"" property twice for Part/Assembly Design for search result.",,TA; Team 3,,,"overview page is showing ""name"" property twice for part/assembly design for search result.","Normalized Title: overview page is showing ""name"" property twice for part/assembly design for search result.
Original Title: Overview page is showing ""Name"" property twice for Part/Assembly Design for search result.
Tags: TA; Team 3
Severity: nan
Description: nan"
101577,Problem 84572 creation dialog standard part design,,R_24.01; SRT,3 - Medium,2.0,problem creation dialog standard part design,"Normalized Title: problem creation dialog standard part design
Original Title: Problem 84572 creation dialog standard part design
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
101842,84572 Submit to WF appears,,R_24.01; SRT,3 - Medium,2.0,submit to wf appears,"Normalized Title: submit to wf appears
Original Title: 84572 Submit to WF appears
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
109390,"Delete Access is showing as ""Deny"" for Owning user of an object",,R_24.01; UAT,,,"delete access is showing as ""deny"" for owning user of an object","Normalized Title: delete access is showing as ""deny"" for owning user of an object
Original Title: Delete Access is showing as ""Deny"" for Owning user of an object
Tags: R_24.01; UAT
Severity: nan
Description: nan"
163006,Not able to add Geometry object as child to Part/Assembly object.,,TA; Team 1,,,not able to add geometry object as child to part/assembly object.,"Normalized Title: not able to add geometry object as child to part/assembly object.
Original Title: Not able to add Geometry object as child to Part/Assembly object.
Tags: TA; Team 1
Severity: nan
Description: nan"
107655,Searching Component Object and validate its Relations as well as Attributes in Active Workspace Failed,,R_24.01; UAT,,,searching component object and validate its relations as well as attributes in active workspace failed,"Normalized Title: searching component object and validate its relations as well as attributes in active workspace failed
Original Title: Searching Component Object and validate its Relations as well as Attributes in Active Workspace Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
107757,NX save manager wants to save too many components (more than were changed),,R_24.01; UAT,2 - High,2.0,nx save manager wants to save too many components (more than were changed),"Normalized Title: nx save manager wants to save too many components (more than were changed)
Original Title: NX save manager wants to save too many components (more than were changed)
Tags: R_24.01; UAT
Severity: 2 - High
Description: nan"
102740,Vis of Element Effectivity,,R_24.01; SRT,3 - Medium,2.0,vis of element effectivity,"Normalized Title: vis of element effectivity
Original Title: Vis of Element Effectivity
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
102782,Not all Neutral file formats generated in PLATON using NX managed Mode.,,R_24.01; SRT; Team 1,3 - Medium,2.0,not all neutral file formats generated in platon using nx managed mode.,"Normalized Title: not all neutral file formats generated in platon using nx managed mode.
Original Title: Not all Neutral file formats generated in PLATON using NX managed Mode.
Tags: R_24.01; SRT; Team 1
Severity: 3 - Medium
Description: nan"
102384,"No ""Latest Working"" and ""Advanced Search"" visible",,R_24.01; SRT,3 - Medium,2.0,"no ""latest working"" and ""advanced search"" visible","Normalized Title: no ""latest working"" and ""advanced search"" visible
Original Title: No ""Latest Working"" and ""Advanced Search"" visible
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
123539,Attributes Missing in SA Revision,,Team 3,,,attributes missing in sa revision,"Normalized Title: attributes missing in sa revision
Original Title: Attributes Missing in SA Revision
Tags: Team 3
Severity: nan
Description: nan"
107661,Filtering Product structure using Revision Rules Failed,,R_24.01; UAT,,,filtering product structure using revision rules failed,"Normalized Title: filtering product structure using revision rules failed
Original Title: Filtering Product structure using Revision Rules Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
155317,Released revision is displayed after applying At least Engineering revision rule,,Team 2,,,released revision is displayed after applying at least engineering revision rule,"Normalized Title: released revision is displayed after applying at least engineering revision rule
Original Title: Released revision is displayed after applying At least Engineering revision rule
Tags: Team 2
Severity: nan
Description: nan"
155320,Released revision rule mismatch,,Team 2,,,released revision rule mismatch,"Normalized Title: released revision rule mismatch
Original Title: Released revision rule mismatch
Tags: Team 2
Severity: nan
Description: nan"
185142,Revision rule mismatch for Training ENV-00,,Team 2; Training_Validation,,,revision rule mismatch for training env-,"Normalized Title: revision rule mismatch for training env-
Original Title: Revision rule mismatch for Training ENV-00
Tags: Team 2; Training_Validation
Severity: nan
Description: nan"
123369,Attributes are missing in Navigation Module Revision,,,,,attributes are missing in navigation module revision,"Normalized Title: attributes are missing in navigation module revision
Original Title: Attributes are missing in Navigation Module Revision
Tags: nan
Severity: nan
Description: nan"
107662,Filtering effective elements of Product structure using Date Failed,,R_24.01; UAT,,,filtering effective elements of product structure using date failed,"Normalized Title: filtering effective elements of product structure using date failed
Original Title: Filtering effective elements of Product structure using Date Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
101655,84946_Properties of DMU BoM revision can be modified,,R_24.01; SRT,3 - Medium,2.0,_properties of dmu bom revision can be modified,"Normalized Title: _properties of dmu bom revision can be modified
Original Title: 84946_Properties of DMU BoM revision can be modified
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
102285,84949 Create Functional Module and Validate its Relations in Teamcenter,,R_24.01; SRT,3 - Medium,2.0,create functional module and validate its relations in teamcenter,"Normalized Title: create functional module and validate its relations in teamcenter
Original Title: 84949 Create Functional Module and Validate its Relations in Teamcenter
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
123023,Craft attribute is missing in Functional Module and Under Product Structure,,,,,craft attribute is missing in functional module and under product structure,"Normalized Title: craft attribute is missing in functional module and under product structure
Original Title: Craft attribute is missing in Functional Module and Under Product Structure
Tags: nan
Severity: nan
Description: nan"
145852,"Able to see two 'Functional Module' with ""New"" button with two different icons",,Team 2,,,"able to see two 'functional module' with ""new"" button with two different icons","Normalized Title: able to see two 'functional module' with ""new"" button with two different icons
Original Title: Able to see two 'Functional Module' with ""New"" button with two different icons
Tags: Team 2
Severity: nan
Description: nan"
107005,Material not assigned,,R_24.01; Team 1; UAT,3 - Medium,2.0,material not assigned,"Normalized Title: material not assigned
Original Title: Material not assigned
Tags: R_24.01; Team 1; UAT
Severity: 3 - Medium
Description: nan"
123264,DMU Group Part Number Naming Convention is incorrect,,Team 3,,,dmu group part number naming convention is incorrect,"Normalized Title: dmu group part number naming convention is incorrect
Original Title: DMU Group Part Number Naming Convention is incorrect
Tags: Team 3
Severity: nan
Description: nan"
105122,Submit to Workflow task panel does not open.,,Team 1,2 - High,2.0,submit to workflow task panel does not open.,"Normalized Title: submit to workflow task panel does not open.
Original Title: Submit to Workflow task panel does not open.
Tags: Team 1
Severity: 2 - High
Description: nan"
105130,There is no chance to see UGPART/UGMASTER informations.,,,,,there is no chance to see ugpart/ugmaster informations.,"Normalized Title: there is no chance to see ugpart/ugmaster informations.
Original Title: There is no chance to see UGPART/UGMASTER informations.
Tags: nan
Severity: nan
Description: nan"
105138,No Workflow available.,,Team 1,3 - Medium,3.0,no workflow available.,"Normalized Title: no workflow available.
Original Title: No Workflow available.
Tags: Team 1
Severity: 3 - Medium
Description: nan"
105142,No license,,,3 - Medium,3.0,no license,"Normalized Title: no license
Original Title: No license
Tags: nan
Severity: 3 - Medium
Description: nan"
122971,DM | Attributes are missing in Standard part Design Revision,,Team 3,4 - Low,,dm | attributes are missing in standard part design revision,"Normalized Title: dm | attributes are missing in standard part design revision
Original Title: DM | Attributes are missing in Standard part Design Revision
Tags: Team 3
Severity: 4 - Low
Description: nan"
102422,85327_ ARRANGEMENT - ADD child functionality,,R_24.01; SRT,3 - Medium,2.0,85327_ arrangement - add child functionality,"Normalized Title: 85327_ arrangement - add child functionality
Original Title: 85327_ ARRANGEMENT - ADD child functionality
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
107665,Saved Variant Rule (SVR) configuration for the Product structure Failed,,R_24.01; UAT,,,saved variant rule (svr) configuration for the product structure failed,"Normalized Title: saved variant rule (svr) configuration for the product structure failed
Original Title: Saved Variant Rule (SVR) configuration for the Product structure Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
239705,NX Add-Ons - Clone Existing Part does not work,"Copied from Repro Steps when changed from Platon Incident to Bug 📍 Location in the Process House (describe, in which part of the process the incident occurs - use Link to navigate) 👉 For incident reproduction: Which action was taken? (Detailed step-by-step description, what you did) Create a small Assembly Start the NX Add On ""Clone Existing Part"" Enter the needed Values Note: This was tried in Central Test and in CRM 02 🚩 What was your expected result? Assembly will get cloned to A Part Numbers 🐞 What was the actual result? (Please, insert screenshots/pictures/logfiles etc. as it is very helpful for us) Yesterday when using this functionality the new Geo Parts did get created but did not get assigned to their Part/Assemblys unluckily today i dont even get to this state as i get different error messages before Also ramgaur had a different error message yesterday after pressing OK in the dialog, but we didnt take a screenshot Today different Error Message showed up, when trying to open my Assembly in the application after ""close all"" and reopening it worked I entered all the new Part Numbers Then i got this error I already used this functionality a couple of times and it never worked, with at least 4 or 5 different error messages or no message at all, but still it did not create the clone assembly 🚧 What are the consequences of the incident? Clone Part does not work correctly Default Platon Incident Template v. 4 from 20.09.2024 .",NXAddons,3 - Medium,3.0,nx add-ons - clone existing part does not work,"Normalized Title: nx add-ons - clone existing part does not work
Original Title: NX Add-Ons - Clone Existing Part does not work
Tags: NXAddons
Severity: 3 - Medium
Description: Copied from Repro Steps when changed from Platon Incident to Bug 📍 Location in the Process House (describe, in which part of the process the incident occurs - use Link to navigate) 👉 For incident reproduction: Which action was taken? (Detailed step-by-step description, what you did) Create a small Assembly Start the NX Add On ""Clone Existing Part"" Enter the needed Values Note: This was tried in Central Test and in CRM 02 🚩 What was your expected result? Assembly will get cloned to A Part Numbers 🐞 What was the actual result? (Please, insert screenshots/pictures/logfiles etc. as it is very helpful for us) Yesterday when using this functionality the new Geo Parts did get created but did not get assigned to their Part/Assemblys unluckily today i dont even get to this state as i get different error messages before Also ramgaur had a different error message yesterday after pressing OK in the dialog, but we didnt take a screenshot Today different Error Message showed up, when trying to open my Assembly in the application after ""close all"" and reopening it worked I entered all the new Part Numbers Then i got this error I already used this functionality a couple of times and it never worked, with at least 4 or 5 different error messages or no message at all, but still it did not create the clone assembly 🚧 What are the consequences of the incident? Clone Part does not work correctly Default Platon Incident Template v. 4 from 20.09.2024 ."
103073,NX Behavior | Unable to open 'Motion' application,,R_24.01; SRT,3 - Medium,3.0,nx behavior | unable to open 'motion' application,"Normalized Title: nx behavior | unable to open 'motion' application
Original Title: NX Behavior | Unable to open 'Motion' application
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
114720,Configurator context and configurator dictionary creation in Central Test,,,2 - High,2.0,configurator context and configurator dictionary creation in central test,"Normalized Title: configurator context and configurator dictionary creation in central test
Original Title: Configurator context and configurator dictionary creation in Central Test
Tags: nan
Severity: 2 - High
Description: nan"
102258,AM | Read access is denied for a privilege project member,,2406_Bugs; Blocked by IR; IR needed; R_24.01; SRT; Team 3,4 - Low,4.0,am | read access is denied for a privilege project member,"Normalized Title: am | read access is denied for a privilege project member
Original Title: AM | Read access is denied for a privilege project member
Tags: 2406_Bugs; Blocked by IR; IR needed; R_24.01; SRT; Team 3
Severity: 4 - Low
Description: nan"
99565,Not Able to create project in PLATON,,Access central environment; R_24.01; SRT,2 - High,4.0,not able to create project in platon,"Normalized Title: not able to create project in platon
Original Title: Not Able to create project in PLATON
Tags: Access central environment; R_24.01; SRT
Severity: 2 - High
Description: nan"
124453,Unable to remove the Project from selected object,,Team 3,,,unable to remove the project from selected object,"Normalized Title: unable to remove the project from selected object
Original Title: Unable to remove the Project from selected object
Tags: Team 3
Severity: nan
Description: nan"
102421,85735 Creating Product Data Quality Form as well as validating its properties in Active Workspace,,R_24.01; SRT,3 - Medium,2.0,creating product data quality form as well as validating its properties in active workspace,"Normalized Title: creating product data quality form as well as validating its properties in active workspace
Original Title: 85735 Creating Product Data Quality Form as well as validating its properties in Active Workspace
Tags: R_24.01; SRT
Severity: 3 - Medium
Description: nan"
121751,Unable to add Flexible Part as a child on Arrangement,,,,,unable to add flexible part as a child on arrangement,"Normalized Title: unable to add flexible part as a child on arrangement
Original Title: Unable to add Flexible Part as a child on Arrangement
Tags: nan
Severity: nan
Description: nan"
122949,Some Lower Product structure objects are not adding as child properly.,,Team 3,3 - Medium,,some lower product structure objects are not adding as child properly.,"Normalized Title: some lower product structure objects are not adding as child properly.
Original Title: Some Lower Product structure objects are not adding as child properly.
Tags: Team 3
Severity: 3 - Medium
Description: nan"
123281,Able to add Flexible Part Design as a child on Prod Fac Design revision,,Team 3,,,able to add flexible part design as a child on prod fac design revision,"Normalized Title: able to add flexible part design as a child on prod fac design revision
Original Title: Able to add Flexible Part Design as a child on Prod Fac Design revision
Tags: Team 3
Severity: nan
Description: nan"
123559,Platon Download Form is not available in Advance Search,,,,,platon download form is not available in advance search,"Normalized Title: platon download form is not available in advance search
Original Title: Platon Download Form is not available in Advance Search
Tags: nan
Severity: nan
Description: nan"
204325,Features are not selected in variant configuration after providing Code string,,2406_Bugs; TA; Team 2,1 - Critical,1.0,features are not selected in variant configuration after providing code string,"Normalized Title: features are not selected in variant configuration after providing code string
Original Title: Features are not selected in variant configuration after providing Code string
Tags: 2406_Bugs; TA; Team 2
Severity: 1 - Critical
Description: nan"
106720,Workflow template is missing,,R_24.01; UAT,,,workflow template is missing,"Normalized Title: workflow template is missing
Original Title: Workflow template is missing
Tags: R_24.01; UAT
Severity: nan
Description: nan"
107421,Missing template when submitting into workflow,,R_24.01; UAT,,,missing template when submitting into workflow,"Normalized Title: missing template when submitting into workflow
Original Title: Missing template when submitting into workflow
Tags: R_24.01; UAT
Severity: nan
Description: nan"
187339,VEDB Transfer is getting Failed,,,3 - Medium,3.0,vedb transfer is getting failed,"Normalized Title: vedb transfer is getting failed
Original Title: VEDB Transfer is getting Failed
Tags: nan
Severity: 3 - Medium
Description: nan"
122973,New part file window is not appearing for FEM file,,Blocked; PI5B; Spillover; Team 1,2 - High,2.0,new part file window is not appearing for fem file,"Normalized Title: new part file window is not appearing for fem file
Original Title: New part file window is not appearing for FEM file
Tags: Blocked; PI5B; Spillover; Team 1
Severity: 2 - High
Description: nan"
99575,Not able to create program in PLATON,,Access central environment; R_24.01; SRT,2 - High,4.0,not able to create program in platon,"Normalized Title: not able to create program in platon
Original Title: Not able to create program in PLATON
Tags: Access central environment; R_24.01; SRT
Severity: 2 - High
Description: nan"
217221,Demo Bug,,,3 - Medium,,demo bug,"Normalized Title: demo bug
Original Title: Demo Bug
Tags: nan
Severity: 3 - Medium
Description: nan"
107657,Search and Save As Upper Product structure Failed,,R_24.01; UAT,,,search and save as upper product structure failed,"Normalized Title: search and save as upper product structure failed
Original Title: Search and Save As Upper Product structure Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
107666,Configure Variant configuration using code string from SMARAGD Failed,,R_24.01; UAT,,,configure variant configuration using code string from smaragd failed,"Normalized Title: configure variant configuration using code string from smaragd failed
Original Title: Configure Variant configuration using code string from SMARAGD Failed
Tags: R_24.01; UAT
Severity: nan
Description: nan"
125744,Component object addition to the SA object,,Team 2,2 - High,,component object addition to the sa object,"Normalized Title: component object addition to the sa object
Original Title: Component object addition to the SA object
Tags: Team 2
Severity: 2 - High
Description: nan"
146758,Addition of Migrated SA object to the UPS,,Team 2,,,addition of migrated sa object to the ups,"Normalized Title: addition of migrated sa object to the ups
Original Title: Addition of Migrated SA object to the UPS
Tags: Team 2
Severity: nan
Description: nan"
148742,Unable to save assembly,,Team 1,1 - Critical,1.0,unable to save assembly,"Normalized Title: unable to save assembly
Original Title: Unable to save assembly
Tags: Team 1
Severity: 1 - Critical
Description: nan"
102834,95859 Validate Configuration in an Arrangement object based on Effectivity and Revision Rule,,R_24.01; SRT; Team 2,3 - Medium,2.0,validate configuration in an arrangement object based on effectivity and revision rule,"Normalized Title: validate configuration in an arrangement object based on effectivity and revision rule
Original Title: 95859 Validate Configuration in an Arrangement object based on Effectivity and Revision Rule
Tags: R_24.01; SRT; Team 2
Severity: 3 - Medium
Description: nan"
141562,Content Tab Not showing for Arrangement Object,,,,,content tab not showing for arrangement object,"Normalized Title: content tab not showing for arrangement object
Original Title: Content Tab Not showing for Arrangement Object
Tags: nan
Severity: nan
Description: nan"
162830,Child part having release effectivity date other than selected date range is visible in Arrangement.,,Team 2,4 - Low,,child part having release effectivity date other than selected date range is visible in arrangement.,"Normalized Title: child part having release effectivity date other than selected date range is visible in arrangement.
Original Title: Child part having release effectivity date other than selected date range is visible in Arrangement.
Tags: Team 2
Severity: 4 - Low
Description: nan"
